No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
6,1.1395191,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,149,-33dBm,,,"QoS Data, SN=612, FN=0, Flags=.p..R.F."
7,2.048896,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,149,-31dBm,,,"QoS Data, SN=613, FN=0, Flags=.p....F."
8,2.209282,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,149,-44dBm,,,"QoS Data, SN=614, FN=0, Flags=.p....F."
13,4.2021801,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,230,-30dBm,,,"QoS Data, SN=615, FN=0, Flags=.p....F."
17,5.392547799999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,243,-26dBm,,,"QoS Data, SN=616, FN=0, Flags=.p..R.F."
22,6.953001399999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,153,-33dBm,,,"QoS Data, SN=617, FN=0, Flags=.p..R.F."
24,7.210122599999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,153,-33dBm,,,"QoS Data, SN=618, FN=0, Flags=.p....F."
27,8.433223799999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,178,-32dBm,,,"QoS Data, SN=619, FN=0, Flags=.p....F."
31,8.474602199999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,178,-34dBm,,,"QoS Data, SN=620, FN=0, Flags=.p....F."
32,8.545966199999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,178,-40dBm,,,"QoS Data, SN=621, FN=0, Flags=.p....F."
34,10.183517799999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,166,-33dBm,,,"QoS Data, SN=622, FN=0, Flags=.p....F."
35,11.6632614,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-75dBm,,,"QoS Data, SN=623, FN=0, Flags=.p..R.F."
38,12.7691224,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-68dBm,,,"QoS Data, SN=624, FN=0, Flags=.p....F."
43,13.660524500000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-53dBm,,,"QoS Data, SN=625, FN=0, Flags=.p....F."
47,14.175315000000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-31dBm,,,"QoS Data, SN=626, FN=0, Flags=.p....F."
52,15.978916100000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,134,-45dBm,,,"QoS Data, SN=627, FN=0, Flags=.p..R.F."
55,17.679088200000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,123,-37dBm,,,"QoS Data, SN=628, FN=0, Flags=.p..R.F."
60,18.156777100000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,123,-36dBm,,,"QoS Data, SN=629, FN=0, Flags=.p....F."
61,19.799239800000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,199,-27dBm,,,"QoS Data, SN=630, FN=0, Flags=.p....F."
62,20.362949300000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,199,-25dBm,,,"QoS Data, SN=631, FN=0, Flags=.p..R.F."
63,22.184633200000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-41dBm,,,"QoS Data, SN=632, FN=0, Flags=.p....F."
68,23.156134800000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-30dBm,,,"QoS Data, SN=633, FN=0, Flags=.p....F."
73,24.079347700000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-17dBm,,,"QoS Data, SN=634, FN=0, Flags=.p....F."
77,24.328806400000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-25dBm,,,"QoS Data, SN=635, FN=0, Flags=.p....F."
78,25.114002800000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-20dBm,,,"QoS Data, SN=636, FN=0, Flags=.p..R.F."
81,26.197678800000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,128,-47dBm,,,"QoS Data, SN=637, FN=0, Flags=.p....F."
84,27.060890800000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,128,-21dBm,,,"QoS Data, SN=638, FN=0, Flags=.p....F."
86,28.070550400000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,141,-38dBm,,,"QoS Data, SN=639, FN=0, Flags=.p....F."
89,28.827815500000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,141,-30dBm,,,"QoS Data, SN=640, FN=0, Flags=.p....F."
91,30.25428090000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,241,-33dBm,,,"QoS Data, SN=641, FN=0, Flags=.p....F."
96,31.45348940000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,138,-52dBm,,,"QoS Data, SN=642, FN=0, Flags=.p..R.F."
100,32.44151460000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,138,-29dBm,,,"QoS Data, SN=643, FN=0, Flags=.p..R.F."
105,32.63206240000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,138,-54dBm,,,"QoS Data, SN=644, FN=0, Flags=.p....F."
108,32.79151400000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,138,-30dBm,,,"QoS Data, SN=645, FN=0, Flags=.p....F."
109,34.345594000000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,253,-46dBm,,,"QoS Data, SN=646, FN=0, Flags=.p....F."
111,36.28981580000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,205,-16dBm,,,"QoS Data, SN=647, FN=0, Flags=.p....F."
116,37.567176700000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-49dBm,,,"QoS Data, SN=648, FN=0, Flags=.p....F."
121,39.5120354,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-30dBm,,,"QoS Data, SN=649, FN=0, Flags=.p....F."
126,40.2511616,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-37dBm,,,"QoS Data, SN=650, FN=0, Flags=.p..R.F."
130,42.0324005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,117,-44dBm,,,"QoS Data, SN=651, FN=0, Flags=.p....F."
131,42.3116737,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,117,-40dBm,,,"QoS Data, SN=652, FN=0, Flags=.p....F."
133,44.1425931,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,251,-34dBm,,,"QoS Data, SN=653, FN=0, Flags=.p....F."
137,45.0024325,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,251,-55dBm,,,"QoS Data, SN=654, FN=0, Flags=.p..R.F."
141,46.4589806,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,139,-48dBm,,,"QoS Data, SN=655, FN=0, Flags=.p..R.F."
144,48.097711399999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,160,-37dBm,,,"QoS Data, SN=656, FN=0, Flags=.p..R.F."
146,49.924858099999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-25dBm,,,"QoS Data, SN=657, FN=0, Flags=.p..R.F."
149,51.08678859999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-30dBm,,,"QoS Data, SN=658, FN=0, Flags=.p....F."
153,52.735749199999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,134,-37dBm,,,"QoS Data, SN=659, FN=0, Flags=.p..R.F."
155,53.784321399999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-25dBm,,,"QoS Data, SN=660, FN=0, Flags=.p....F."
157,55.0395725,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,117,-22dBm,,,"QoS Data, SN=661, FN=0, Flags=.p....F."
160,56.206482099999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,201,-50dBm,,,"QoS Data, SN=662, FN=0, Flags=.p....F."
163,56.44483999999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,201,-18dBm,,,"QoS Data, SN=663, FN=0, Flags=.p..R.F."
165,57.38779999999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,201,-16dBm,,,"QoS Data, SN=664, FN=0, Flags=.p..R.F."
166,58.84947739999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-35dBm,,,"QoS Data, SN=665, FN=0, Flags=.p....F."
167,59.00739289999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-38dBm,,,"QoS Data, SN=666, FN=0, Flags=.p....F."
172,59.16700709999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-15dBm,,,"QoS Data, SN=667, FN=0, Flags=.p....F."
176,59.265358199999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-46dBm,,,"QoS Data, SN=668, FN=0, Flags=.p....F."
177,60.714875199999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,173,-60dBm,,,"QoS Data, SN=669, FN=0, Flags=.p..R.F."
182,62.06554669999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,125,-38dBm,,,"QoS Data, SN=670, FN=0, Flags=.p..R.F."
187,63.29993129999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,159,-56dBm,,,"QoS Data, SN=671, FN=0, Flags=.p....F."
191,63.77293019999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,159,-58dBm,,,"QoS Data, SN=672, FN=0, Flags=.p....F."
195,64.65372369999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,159,-29dBm,,,"QoS Data, SN=673, FN=0, Flags=.p....F."
197,66.12574419999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,144,-24dBm,,,"QoS Data, SN=674, FN=0, Flags=.p..R.F."
