RSS,distance
-43,10
-54,10
-42,10
-51,10
-28,10
-65,10
-35,10
-61,10
-35,10
-25,10
-56,10
-43,10
-53,10
-42,10
-43,10
-51,10
-51,10
-73,10
-58,10
-57,10
-42,10
-50,10
-61,10
-37,10
-45,10
-50,10
-50,10
-59,10
-58,10
-54,10
-44,10
-45,10
-48,10
-35,10
-46,10
-36,10
-50,10
-57,10
-56,10
-32,10
-22,10
-38,10
-37,10
-43,10
-62,10
-33,10
-64,10
-38,10
-66,10
-53,10
-59,10
-41,10
-64,10
-40,10
-49,10
-71,10
-70,10
-60,10
-47,10
-61,10
-59,10
-59,10
-62,10
-19,10
-46,10
-64,10
-46,10
-36,10
-20,10
-36,10
-35,10
-48,10
-35,10
-39,10
-40,10
-55,10
-40,10
-40,10
-32,10
-55,10
-35,10
-31,10
-42,10
-46,10
-54,10
-39,10
-32,10
-40,10
-55,10
-33,10
-47,10
-54,10
-27,10
-39,10
-29,10
-41,10
-58,10
-53,10
-37,10
-38,10
-41,10
-63,10
-64,10
-47,10
-39,10
-66,10
-48,10
-24,10
-59,10
-55,10
-56,10
-42,10
-43,10
-39,10
-40,10
-46,10
-42,10
-47,10
-34,10
-43,10
-52,10
-36,10
-39,10
-69,10
-43,10
-42,10
-56,10
-69,10
-30,10
-56,10
-67,10
-31,10
-58,10
-39,10
-57,10
-61,10
-28,10
-63,10
-39,10
-48,10
-54,10
-59,10
-69,10
-53,10
-58,10
-31,10
-54,10
-48,10
-46,10
-67,10
-27,10
-63,10
-45,10
-68,10
-39,10
-49,10
-25,10
-59,10
-61,10
-76,10
-55,10
-56,10
-74,10
-19,10
-44,10
-40,10
-43,10
-32,10
-43,10
-54,10
-53,10
-58,10
-45,10
-58,10
-74,10
-42,10
-35,10
-43,10
-60,10
-51,10
-60,10
-51,10
-68,10
-59,10
-39,10
-61,10
-40,10
-49,10
-73,10
-35,10
-57,10
-43,10
-51,10
-47,10
-38,10
-47,10
-57,10
-46,10
-42,10
-45,10
-52,10
-55,10
-55,10
-51,10
-67,10
-44,10
-47,10
-59,10
-49,10
-40,10
-48,10
-70,10
-46,10
-38,10
-38,10
-48,10
-55,10
-50,10
-54,10
-64,10
-34,10
-56,10
-50,10
-58,10
-48,10
-71,10
-53,10
-51,10
-54,10
-45,10
-60,10
-65,10
-65,10
-26,10
-56,10
-35,10
-60,10
-47,10
-40,10
-33,10
-23,10
-22,10
-47,10
-43,10
-57,10
-25,10
-18,10
-49,10
-39,10
-52,10
-35,10
-28,10
-49,10
-36,10
-38,10
-38,10
-44,10
-58,10
-45,10
-37,10
-55,10
-55,10
-45,10
-25,10
-48,10
-67,10
-49,10
-42,10
-38,10
-64,10
-56,10
-26,10
-44,10
-34,10
-32,10
-53,10
-54,10
-72,10
-40,10
-47,10
-39,10
-42,10
-54,10
-41,10
-34,10
-43,10
-62,10
-53,10
-56,10
-44,10
-34,10
-38,10
-37,10
-53,10
-59,10
-25,10
-39,10
-47,10
-63,10
-59,10
-47,10
-71,10
-62,10
-73,10
-23,10
-58,10
-40,10
-49,10
-27,10
-53,10
-62,10
-39,10
-40,10
-24,10
-25,10
-58,10
-43,10
-75,10
-40,10
-55,10
-50,10
-61,10
-38,10
-41,10
-48,10
-36,10
-44,10
-77,10
-22,10
-43,10
-56,10
-49,10
-68,10
-55,10
-55,10
-44,10
-63,10
-48,10
-52,10
-51,10
-46,10
-69,10
-32,10
-35,10
-71,10
-51,10
-69,10
-45,10
-36,10
-32,10
-57,10
-44,10
-42,10
-46,10
-68,10
-39,10
-59,10
-45,10
-46,10
-47,10
-49,10
-44,10
-39,10
-45,10
-54,10
-29,10
-32,10
-63,10
-46,10
-46,10
-42,10
-21,10
-44,10
-49,10
-32,10
-35,10
-56,10
-52,10
-49,10
-40,10
-44,10
-51,10
-49,10
-63,10
-33,10
-46,10
-28,10
-44,10
-36,10
-78,10
-67,10
-41,10
-32,10
-63,10
-65,10
-37,10
-54,10
-36,10
-72,10
-36,10
-40,10
-33,10
-27,10
-20,10
-47,10
-34,10
-37,10
-61,10
-51,10
-47,10
-35,10
-24,10
-47,10
-51,10
-64,10
-47,10
-22,10
-18,10
-47,10
-49,10
-50,10
-51,10
-45,10
-46,10
-35,10
-20,10
-60,10
-58,10
-54,10
-47,10
-70,10
-56,10
-52,10
-62,10
-21,10
-50,10
-59,10
-52,10
-38,10
-47,10
-32,10
-60,10
-36,10
-48,10
-50,10
-55,10
-48,10
-59,10
-37,10
-48,10
-56,10
-49,10
-41,10
-52,10
-43,10
-23,10
-60,10
-42,10
-56,10
-55,10
-38,10
-46,10
-38,10
-33,10
-51,10
-50,10
-47,10
-52,10
-60,10
-46,10
-43,10
-51,10
-36,10
-44,10
-47,10
-50,10
