No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
3,0.4690402,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-23dBm,,,"QoS Data, SN=569, FN=0, Flags=.p..R.F."
4,1.0190451999999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-28dBm,,,"QoS Data, SN=570, FN=0, Flags=.p....F."
5,1.3488768999999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-18dBm,,,"QoS Data, SN=571, FN=0, Flags=.p....F."
9,2.8041463999999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,188,-44dBm,,,"QoS Data, SN=572, FN=0, Flags=.p..R.F."
13,4.4875872,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,244,-27dBm,,,"QoS Data, SN=573, FN=0, Flags=.p....F."
17,5.0956605,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,244,-29dBm,,,"QoS Data, SN=574, FN=0, Flags=.p..R.F."
20,5.1229335,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,244,-29dBm,,,"QoS Data, SN=575, FN=0, Flags=.p....F."
25,5.7758108,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,244,-28dBm,,,"QoS Data, SN=576, FN=0, Flags=.p....F."
27,6.4428026,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,244,-42dBm,,,"QoS Data, SN=577, FN=0, Flags=.p....F."
31,7.820486600000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,224,-42dBm,,,"QoS Data, SN=578, FN=0, Flags=.p..R.F."
32,9.235293200000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,140,-42dBm,,,"QoS Data, SN=579, FN=0, Flags=.p..R.F."
34,10.917810900000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-42dBm,,,"QoS Data, SN=580, FN=0, Flags=.p..R.F."
38,11.2389153,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-41dBm,,,"QoS Data, SN=581, FN=0, Flags=.p..R.F."
42,13.1951433,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-37dBm,,,"QoS Data, SN=582, FN=0, Flags=.p....F."
47,13.8675446,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-25dBm,,,"QoS Data, SN=583, FN=0, Flags=.p....F."
51,15.5074969,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,138,-31dBm,,,"QoS Data, SN=584, FN=0, Flags=.p....F."
52,17.4998254,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,210,-43dBm,,,"QoS Data, SN=585, FN=0, Flags=.p....F."
57,19.298374499999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-42dBm,,,"QoS Data, SN=586, FN=0, Flags=.p....F."
58,20.6030311,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,133,-39dBm,,,"QoS Data, SN=587, FN=0, Flags=.p..R.F."
61,22.471414,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,167,-29dBm,,,"QoS Data, SN=588, FN=0, Flags=.p....F."
65,23.529996999999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,224,-30dBm,,,"QoS Data, SN=589, FN=0, Flags=.p..R.F."
66,24.624961,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,256,-18dBm,,,"QoS Data, SN=590, FN=0, Flags=.p....F."
67,26.424510299999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,185,-35dBm,,,"QoS Data, SN=591, FN=0, Flags=.p..R.F."
70,27.3893237,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,185,-22dBm,,,"QoS Data, SN=592, FN=0, Flags=.p....F."
72,28.8269538,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,227,-32dBm,,,"QoS Data, SN=593, FN=0, Flags=.p..R.F."
74,29.1242156,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,227,-21dBm,,,"QoS Data, SN=594, FN=0, Flags=.p....F."
77,30.071672799999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,227,-42dBm,,,"QoS Data, SN=595, FN=0, Flags=.p....F."
82,30.461807999999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,227,-28dBm,,,"QoS Data, SN=596, FN=0, Flags=.p....F."
85,31.697748299999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,182,-48dBm,,,"QoS Data, SN=597, FN=0, Flags=.p....F."
89,32.5046896,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,182,-33dBm,,,"QoS Data, SN=598, FN=0, Flags=.p..R.F."
93,33.5285685,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-39dBm,,,"QoS Data, SN=599, FN=0, Flags=.p....F."
97,34.2862147,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-26dBm,,,"QoS Data, SN=600, FN=0, Flags=.p....F."
102,35.379553200000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,136,-49dBm,,,"QoS Data, SN=601, FN=0, Flags=.p....F."
106,37.3482405,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,252,-36dBm,,,"QoS Data, SN=602, FN=0, Flags=.p....F."
107,37.669759500000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,252,-42dBm,,,"QoS Data, SN=603, FN=0, Flags=.p....F."
108,38.086041300000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,252,-35dBm,,,"QoS Data, SN=604, FN=0, Flags=.p..R.F."
113,38.242705400000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,252,-32dBm,,,"QoS Data, SN=605, FN=0, Flags=.p....F."
117,38.3944965,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,252,-30dBm,,,"QoS Data, SN=606, FN=0, Flags=.p..R.F."
121,40.0093631,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,240,-38dBm,,,"QoS Data, SN=607, FN=0, Flags=.p....F."
125,41.5676276,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,160,-32dBm,,,"QoS Data, SN=608, FN=0, Flags=.p....F."
128,43.034054600000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-37dBm,,,"QoS Data, SN=609, FN=0, Flags=.p....F."
130,44.5790767,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,181,-39dBm,,,"QoS Data, SN=610, FN=0, Flags=.p....F."
132,44.906759,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,181,-31dBm,,,"QoS Data, SN=611, FN=0, Flags=.p....F."
136,45.968329000000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,167,-27dBm,,,"QoS Data, SN=612, FN=0, Flags=.p....F."
138,47.649775600000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,136,-32dBm,,,"QoS Data, SN=613, FN=0, Flags=.p....F."
141,48.7080843,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,177,-39dBm,,,"QoS Data, SN=614, FN=0, Flags=.p....F."
144,50.3476282,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,115,-33dBm,,,"QoS Data, SN=615, FN=0, Flags=.p....F."
146,50.4743913,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,115,-37dBm,,,"QoS Data, SN=616, FN=0, Flags=.p....F."
150,50.846774,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,115,-40dBm,,,"QoS Data, SN=617, FN=0, Flags=.p..R.F."
154,52.661932300000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,168,-33dBm,,,"QoS Data, SN=618, FN=0, Flags=.p....F."
155,52.711908300000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,168,-42dBm,,,"QoS Data, SN=619, FN=0, Flags=.p....F."
160,52.901759600000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,168,-33dBm,,,"QoS Data, SN=620, FN=0, Flags=.p....F."
161,54.122457100000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,123,-45dBm,,,"QoS Data, SN=621, FN=0, Flags=.p..R.F."
