RSS,distance
-59,10
-60,10
-58,10
-44,10
-38,10
-38,10
-46,10
-45,10
-47,10
-45,10
-62,10
-36,10
-43,10
-31,10
-53,10
-33,10
-49,10
-44,10
-28,10
-59,10
-44,10
-40,10
-44,10
-67,10
-40,10
-44,10
-42,10
-45,10
-46,10
-41,10
-35,10
-53,10
-54,10
-27,10
-60,10
-36,10
-60,10
-52,10
-40,10
-56,10
-55,10
-43,10
-50,10
-55,10
-48,10
-40,10
-55,10
-46,10
-66,10
-52,10
-40,10
-62,10
-49,10
-64,10
-41,10
-26,10
-57,10
-52,10
-39,10
-44,10
-60,10
-46,10
-30,10
-34,10
-70,10
-57,10
-55,10
-40,10
-50,10
-45,10
-63,10
-69,10
-50,10
-53,10
-44,10
-29,10
-61,10
-50,10
-57,10
-54,10
-48,10
-65,10
-54,10
-51,10
-37,10
-54,10
-49,10
-67,10
-53,10
-56,10
-76,10
-53,10
-40,10
-54,10
-49,10
-57,10
-39,10
-41,10
-53,10
-61,10
-55,10
-36,10
-43,10
-62,10
-53,10
-53,10
-60,10
-36,10
-57,10
-40,10
-50,10
-29,10
-28,10
-37,10
-55,10
-51,10
-51,10
-65,10
-53,10
-39,10
-53,10
-56,10
-38,10
-27,10
-45,10
-48,10
-38,10
-60,10
-45,10
-46,10
-35,10
-34,10
-42,10
-51,10
-62,10
-60,10
-51,10
-41,10
-56,10
-47,10
-61,10
-44,10
-42,10
-35,10
-48,10
-36,10
-51,10
-56,10
-78,10
-52,10
-27,10
-42,10
-36,10
-43,10
-42,10
-32,10
-41,10
-48,10
-41,10
-51,10
-59,10
-45,10
-31,10
-66,10
-47,10
-38,10
-51,10
-27,10
-56,10
-41,10
-48,10
-67,10
-48,10
-55,10
-41,10
-35,10
-46,10
-60,10
-63,10
-44,10
-40,10
-38,10
-43,10
-54,10
-49,10
-37,10
-69,10
-41,10
-43,10
-57,10
-52,10
-49,10
-49,10
-60,10
-43,10
-41,10
-36,10
-47,10
-56,10
-52,10
-72,10
-54,10
-26,10
-44,10
-49,10
-50,10
-57,10
-58,10
-54,10
-56,10
-61,10
-39,10
-41,10
-45,10
-22,10
-59,10
-47,10
-34,10
-70,10
-49,10
-66,10
-36,10
-42,10
-39,10
-43,10
-51,10
-47,10
-55,10
-39,10
-56,10
-50,10
-32,10
-43,10
-54,10
-66,10
-54,10
-47,10
-60,10
-36,10
-44,10
-50,10
-56,10
-51,10
-58,10
-39,10
-50,10
-32,10
-64,10
-54,10
-41,10
-50,10
-42,10
-53,10
-47,10
-34,10
-46,10
-64,10
-45,10
-63,10
-45,10
-48,10
-51,10
-46,10
-48,10
-58,10
-59,10
-36,10
-49,10
-46,10
-38,10
-51,10
-42,10
-54,10
-49,10
-56,10
-44,10
-69,10
-61,10
-51,10
-40,10
-61,10
-57,10
-48,10
-44,10
-27,10
-49,10
-46,10
-35,10
-37,10
-44,10
-49,10
-44,10
-57,10
-67,10
-65,10
-40,10
-29,10
-46,10
-46,10
-56,10
-64,10
-39,10
-61,10
-52,10
-49,10
-42,10
-52,10
-50,10
-38,10
-39,10
-64,10
-57,10
-47,10
-39,10
-54,10
-45,10
-63,10
-47,10
-46,10
-46,10
-61,10
-39,10
-44,10
-45,10
-52,10
-57,10
-44,10
-48,10
-52,10
-39,10
-48,10
-56,10
-73,10
-48,10
-73,10
-31,10
-50,10
-45,10
-29,10
-49,10
-69,10
-58,10
-63,10
-58,10
-35,10
-47,10
-48,10
-40,10
-43,10
-56,10
-33,10
-34,10
-52,10
-48,10
-47,10
-50,10
-48,10
-43,10
-40,10
-34,10
-31,10
-58,10
-48,10
-68,10
-61,10
-37,10
-47,10
-60,10
-60,10
-52,10
-25,10
-65,10
-68,10
-45,10
-61,10
-57,10
-29,10
-50,10
-46,10
-51,10
-65,10
-53,10
-48,10
-61,10
-55,10
-62,10
-60,10
-41,10
-46,10
-77,10
-41,10
-46,10
-47,10
-50,10
-46,10
-49,10
-76,10
-57,10
-57,10
-25,10
-42,10
-41,10
-54,10
-48,10
-66,10
-60,10
-62,10
-35,10
-59,10
-49,10
-56,10
-59,10
-48,10
-40,10
-60,10
-45,10
-39,10
-42,10
-61,10
-34,10
-52,10
-48,10
-30,10
-55,10
-50,10
-54,10
-42,10
-46,10
-48,10
-45,10
-40,10
-54,10
-64,10
-47,10
-53,10
-49,10
-34,10
-39,10
-48,10
-47,10
-50,10
-50,10
-34,10
-39,10
-47,10
-48,10
-49,10
-64,10
-47,10
-47,10
-50,10
-52,10
-46,10
-63,10
-38,10
-47,10
-58,10
-46,10
-45,10
-54,10
-63,10
-46,10
-43,10
-51,10
-45,10
-36,10
-52,10
-74,10
-52,10
-50,10
-61,10
-34,10
-43,10
-35,10
-48,10
-50,10
-58,10
-46,10
-54,10
-49,10
-43,10
-26,10
-49,10
-31,10
-43,10
-50,10
-50,10
-61,10
-50,10
-51,10
-51,10
-49,10
-50,10
-34,10
-59,10
-46,10
-43,10
-49,10
-58,10
-53,10
-40,10
-64,10
-47,10
-43,10
-37,10
-56,10
-50,10
-37,10
-42,10
-65,10
-34,10
-41,10
-61,10
-53,10
-34,10
-39,10
-63,10
-65,10
-59,10
-34,10
-58,10
-62,10
-47,10
-54,10
-54,10
-28,10
-56,10
-49,10
-48,10
-42,10
-53,10
-64,10
-53,10
-49,10
